index,"(0,)","(1,)","(2,)","(3,)","(4,)","(5,)","(6,)","(7,)","(8,)","(9,)"
"(-1.0, -7.0)",(-0.0022272517800155894+0.005955816730950116j),(-0.00698553595860613+0.0011769093665842893j),(-0.0005339655583034521+0.008893127519017684j),(0.008385973744878185-0.001868171401273509j),(-0.003138758698971542-0.0076178347588267735j),(-0.005418397909135027+0.00048548252685565434j),(-0.004234238087006738+0.00379434457695756j),(-0.0077981098181330545-0.0032836917930171147j),(0.003955382549341935-0.007981911046147087j),(0.007782061967041463+0.005250429135313401j)
"(-0.736842105263158, -7.0)",(0.0047277911513780215+0.004696527398507906j),(0.00010496504457614674+0.007227614550863834j),(0.008877981105999954+0.0033580620949126543j),(0.002316164251618086-0.008673418056276251j),(-0.008297054655411251-0.0018914911682670552j),(-0.00319177284794877+0.004521753649126444j),(-0.0008039581553452612+0.005652115367276044j),(-0.008131709415673954+0.0030031398105217814j),(-0.003576633986184123-0.00847856479185725j),(0.009022808730842349-0.0038992054535292265j)
"(-0.4736842105263158, -7.0)",(0.006878409874704271+0.00012776818299620456j),(0.006354367484028978+0.003630896989296388j),(0.008331180832652307-0.005345817264362582j),(-0.004743589822061481-0.007939447251306216j),(-0.007735297883427872+0.0039850757369816366j),(9.338661633241976e-05+0.005607329740653774j),(0.0018056108519687686+0.005424380013756804j),(-0.005820329604368577+0.0066014631537915525j),(-0.007714622645291474-0.005350655406890023j),(0.004874369760540706-0.008854102162699795j)
"(-0.21052631578947367, -7.0)",(0.006573273618156709-0.002439599384015463j),(0.007293392691375596-0.00095162192913485j),(0.004053279840942721-0.009300208536329874j),(-0.008134855864884757-0.004738167905394947j),(-0.005361971609863948+0.007001857610663309j),(0.00226139047433284+0.0051903112160794j),(0.0029665724142160926+0.0048778925445465j),(-0.004153301346897038+0.00782916845546274j),(-0.008939668722662334-0.0031400519548623034j),(0.0019279113324974205-0.010052028950418752j)
"(0.05263157894736836, -7.0)",(0.006670687789762018-0.0023313377703897747j),(0.006796481000137827-0.002761986766688198j),(0.0017146089845403736-0.010099328200692738j),(-0.009001013250382196-0.002978233341762568j),(-0.004029776964367854+0.007898134661551873j),(0.003060104647038116+0.004804798813665117j),(0.002889555582423174+0.004895499831423697j),(-0.004348370869171997+0.007714876741803166j),(-0.008835534871847113-0.0033961896072540174j),(0.002266359144420111-0.009967034881606532j)
"(0.3157894736842104, -7.0)",(0.007029343236778935+0.000539117048310483j),(0.007034454207606099-0.0017830505793843205j),(0.0027535567822314015-0.009822641034056133j),(-0.008670489093567971-0.00376366969784437j),(-0.004627298149831305+0.007539449155495412j),(0.002663725098873814+0.0050553984219983035j),(0.0015686629454338612+0.005420034702086123j),(-0.0062929527667047415+0.006123581714884096j),(-0.007196186908587488-0.005985503316704565j),(0.005727069267652623-0.008276654630456893j)
"(0.5789473684210527, -7.0)",(0.004435985028522076+0.005369713047930519j),(0.006829969078833611+0.0019775716639736625j),(0.006646892707824026-0.007490833786606869j),(-0.00651773731794989-0.006670776098023287j),(-0.006800620786656203+0.005516337558740862j),(0.0009372839201581901+0.00563830120552477j),(-0.0011498021969193837+0.005461519592813252j),(-0.008413166823236552+0.0019402666319658368j),(-0.0022995329034256455-0.00885969895119191j),(0.009479980799012876-0.0023049550281420326j)
"(0.8421052631578947, -7.0)",(-0.0032586997929729706+0.00598103588334033j),(0.002499674810230506+0.006420686901714794j),(0.009661991413068241-0.00046461559395390286j),(-0.0008230517353375-0.009060611168090966j),(-0.008564847495705808+0.0007182967805540496j),(-0.002181230672533053+0.005267738128697602j),(-0.004419107174790726+0.0032735971341831126j),(-0.007054629092476131-0.004580886000903783j),(0.005435840578055697-0.006967720643534872j),(0.006268589480100591+0.006843575442600684j)
"(1.1052631578947367, -7.0)",(-0.005795675187217698-0.003127842208864272j),(-0.0052693756071040465+0.003958629535958756j),(0.004249337912765388+0.008116614422465546j),(0.006780100145389542-0.005544575573671784j),(-0.0059922350604467494-0.005823980329404739j),(-0.005255859204451908+0.002132266454273875j),(-0.005117246620810225-0.0017117830914872038j),(0.0005062335205747276-0.008091520859553081j),(0.008033975359112192+0.0024636422368464156j),(-0.00528987410691148+0.006811406323640864j)
"(1.3684210526315788, -7.0)",(0.004756449758502224-0.004110046311813554j),(-0.00323255890577058-0.005303742871642644j),(-0.007064064738252783+0.004668453563509315j),(0.006947605516148168+0.0045399530839356555j),(0.002445961923223264-0.0076533915596072285j),(-0.004510983330198832-0.0033635078179548887j),(-0.00029161360024186595-0.005261204767521068j),(0.007563118057190819-0.0015305191694505744j),(-0.001686146606244482+0.00766086528574426j),(-0.005326084644139817-0.005673096871652311j)
"(1.6315789473684208, -7.0)",(-3.588241803730106e-05+0.005911224276285555j),(0.005731738332127416-0.0005324238824196086j),(-0.0026881370904585675-0.007094906611226529j),(-0.004065891146116582+0.006556065216852042j),(0.007589031791089113+0.0007458956122509906j),(0.0017850560754523173-0.005272088153219817j),(0.005012125350352541-0.0010386471448560644j),(0.0015425341888908484+0.007068941672058723j),(-0.0065560976867141355-0.0028751301303256227j),(0.006494559012953913-0.0018851903703874114j)
"(1.8947368421052628, -7.0)",(-0.0026368965876131852-0.0047862395913176176j),(-0.0033987920747923293+0.003984892328318167j),(0.006439223395433753+0.0011178719665630888j),(-0.004841777937317253-0.005060734391184j),(-0.0009422150346526307+0.0070633419443546855j),(0.005332388427328746+0.0013010763341684732j),(0.0006292515473943379+0.004903364726209352j),(-0.006663546319981601-7.916052786510519e-05j),(0.004896363993580449-0.0040499776046339225j),(-0.00263720196417295+0.004940707205963383j)
"(2.1578947368421053, -7.0)",(0.003131580303716265+0.003840065932691076j),(0.0012172001716788284-0.004510199075822323j),(-0.004514605367445402+0.0028714255494879082j),(0.005995586412952442-0.001485330776196723j),(-0.006000071226383666-0.002593721601889203j),(-0.0019772988080826977+0.005018909554154906j),(-0.004675484867663555-0.0008058233107895601j),(0.0027457383747354898-0.005343589410113032j),(-0.0001964473469484819+0.005445451854113967j),(-0.00010119819810572638-0.00435136765057479j)
"(2.4210526315789473, -7.0)",(-0.0022948823058438917-0.0037528189545953236j),(-0.0005513295895454615+0.00404271568615427j),(0.002126578431070112-0.0034985455688619823j),(-0.0026844734598401206+0.004516870787203465j),(0.004659175451407936-0.0035610893554474973j),(-0.003936157543349439-0.003522163684023169j),(0.0028646934102894987-0.003499000372344924j),(0.002074543894526045+0.004852952221399343j),(-0.0023679984056056026-0.0037956827755355116j),(0.0008478154439973698+0.0029809678952649925j)
"(2.6842105263157894, -7.0)",(0.00041921525532647157+0.00379518211434834j),(0.0010566664207468763-0.0033225291728461227j),(-0.000953111349327502+0.0026872657280336467j),(-3.491333787809109e-05-0.004269602542008604j),(-0.00043729408697336077+0.0051025051023559425j),(0.004960906681140888-0.001386124965332351j),(0.0006701222452536719+0.0042255782184298955j),(-0.0039205409299188105-0.0021927968662140513j),(0.002752293078285178+0.0021149323997887797j),(-0.0006072268178340642-0.0018416175175769729j)
"(2.9473684210526314, -7.0)",(0.001887632104887971-0.0026343512989107556j),(-0.0020253037358369057+0.002094053753456491j),(0.0005612452030875114-0.0016302605660338382j),(0.001027776777800679+0.003101657353150037j),(-0.002176793997159883-0.003739570821039661j),(-0.0024163399303984466+0.0043783336745101846j),(-0.0028636069227372597-0.0028153098873141182j),(0.003667302878580534+0.00024186057973908328j),(-0.002171546695821301-0.0012237997279794474j),(0.00028367850279843054+0.0009571868483238089j)
"(3.2105263157894735, -7.0)",(-0.0026915111618156583-0.00018146764989481888j),(0.002375974867383405-0.00014477244229441495j),(-0.00027828932510097325+0.0008047976181731777j),(-0.0009417009227479109-0.0020996229192427164j),(0.0028097071247994063+0.002099265042605868j),(-0.0004206457902065256-0.00481334943267388j),(0.003521964122439219+0.0012505676346565835j),(-0.0028127193113617714+0.0005029538386239974j),(0.0013635529663319384+0.0008328897971994345j),(-0.0003168266342883859-0.0004401399303981282j)
"(3.473684210526316, -7.0)",(0.00046078728038743673+0.0021725755090210653j),(-0.001093432831101212-0.001561064295306656j),(-3.944738677267208e-05-0.0005417400341178484j),(0.0005034481734470662+0.0013400044494533078j),(-0.002438826919024465-0.001142699845042917j),(0.0021534722149652+0.0041143791876631555j),(-0.0034298450385949223-0.00034498341969603394j),(0.0020153137871782097-0.0004832025125212535j),(-0.0006853509004574385-0.0005196653996999002j),(0.0004126390662326418+0.0005559169373074507j)
"(3.7368421052631575, -7.0)",(0.0017976882353584246-0.00039391881802910316j),(-0.0009707252933632651+0.0011562031666121017j),(-8.583157559563906e-05+0.0007286665306184267j),(-0.00020432845882355916-0.0007107500622973483j),(0.0017571516196874068+0.0007727768783974171j),(-0.0028158528181410486-0.003430786834621699j),(0.003145718988991501+0.0001495405282963133j),(-0.0013443559846982548+0.00019166612022445344j),(0.00040436321175519625+0.00018098034635121032j),(0.00011370186763543763-0.0008168179538177279j)
"(4.0, -7.0)",(4.2958295125317906e-05-0.001574628379026965j),(0.0008994816469291517+0.0008267323299192445j),(0.0006912412810604521-0.0004526438553641003j),(0.0002452797302358418+0.0003497461155947954j),(-0.0010555492466827296-0.00062073006033707j),(0.002746260711636183+0.0032000926562716215j),(-0.0028043519021403187-0.0004986266380846736j),(0.0007597939653839854+1.0192911123704504e-05j),(-0.0005153694851597578-0.0001342448202162172j),(-0.0007190309951296607+0.00020116964636311086j)
"(-1.0, -6.714285714285714)",(0.006296198965947941-0.0014618613135253546j),(0.004634960913742567+0.0055639989210732555j),(0.007854063033673149-0.004352121814781129j),(-0.006386503080425626-0.005891809984461255j),(-0.004339531797889701+0.007122059394919705j),(0.003709299852218987+0.004083028032202889j),(0.005693625037182262+0.0009792732951121623j),(0.002230007286826449+0.008289861726270395j),(-0.008890835646209082+0.0016521486480640766j),(-0.00021978952960202642-0.00952231398049554j)
"(-0.736842105263158, -6.714285714285714)",(0.0008984086896785382-0.006753420112451772j),(0.006026926481635686-0.004312528357179403j),(-0.0025390065720975507-0.009303388964797881j),(-0.008431092738988065+0.0034779216191228785j),(0.0037074927684576024+0.0078019919392620695j),(0.005607717956231659-0.0003511979255981784j),(0.004941607799502036-0.003043210597177261j),(0.007612604888246835+0.00443928975829495j),(-0.004422179848054525+0.008261946280766673j),(-0.008816243472416684-0.004778112336915391j)
"(-0.4736842105263158, -6.714285714285714)",(-0.004407858018677552-0.005512792768152185j),(-0.001093606806150057-0.007437593893709256j),(-0.009574655888912638-0.0032362951746108936j),(-0.003196989714164468+0.008863896739917517j),(0.008145008712700219+0.0034578500136845866j),(0.004301707990850795-0.003736219543793189j),(0.002991583803260244-0.004984138591899754j),(0.00895667393744046+0.0001358614219896324j),(0.000935877622415468+0.00953278365714618j),(-0.010145151875140333+0.002014933929798479j)
"(-0.21052631578947367, -6.714285714285714)",(-0.006321367791978058-0.0034610236013582077j),(-0.005590164522256642-0.005093580494180356j),(-0.009943823680984913+0.002999294888345858j),(0.0017220708626355177+0.009451471430552406j),(0.008963386486757124-0.0005066705300963706j),(0.002493028058425578-0.0051869926855631215j),(0.001759373223230699-0.005532324461065634j),(0.008790917609154179-0.0020438013783562873j),(0.0035704630763811534+0.008991882413915391j),(-0.009072437458282465+0.005262785103514022j)
"(0.05263157894736836, -6.714285714285714)",(-0.006302156319273302-0.0036177515456676263j),(-0.006732685156671088-0.0034036088105544498j),(-0.008960593836442548+0.005469740249129387j),(0.0037434416796572447+0.008928277937986336j),(0.008760324588585484-0.002190086063281831j),(0.0016369119967570708-0.005556024447649351j),(0.0018265816079242238-0.005483381833705563j),(0.008834754547736643-0.0018090395052434525j),(0.0032916769063131446+0.00908660817750469j),(-0.009241307005932616+0.004927204346357052j)
"(0.3157894736842104, -6.714285714285714)",(-0.004169962530535408-0.0059242638246424185j),(-0.006095114058898774-0.004294456861453433j),(-0.009465315892493675+0.0044282441922293084j),(0.002880657611762311+0.009209262307317046j),(0.008887449397186482-0.0014650140981136532j),(0.002108988353174905-0.005414273441032756j),(0.003150307725930584-0.004791778966212046j),(0.008895663506304954+0.0008427108346190159j),(6.409235695639757e-05+0.009546739898100209j),(-0.010254780525692085+0.0009136397445182273j)
